Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,69.649002,69.649002,68.475197,69.649002,36.650322,200662321971
2000-01-05,69.649002,71.214104,68.866302,71.214104,37.473900,402466776297
2000-01-06,70.822899,71.214104,69.649002,69.649002,36.650322,197545701266
2000-01-07,67.301300,68.475197,66.518600,67.692497,35.620773,235270327441
2000-01-10,69.649002,70.431396,68.475197,70.040199,36.856174,276171665217
2000-01-11,70.822899,71.605202,68.475197,68.866302,36.238449,277769524211
2000-01-12,69.257500,70.822899,68.866302,70.822899,37.268036,216246790710
2000-01-13,70.822899,70.822899,69.649002,69.649002,36.650322,147490943364
2000-01-14,70.431396,72.387901,70.040199,71.214104,37.473900,288318943138
2000-01-17,74.344398,74.344398,73.170601,73.170601,38.503433,155256929295
2000-01-18,73.170601,73.170601,71.605202,71.996696,37.885712,131648021903
2000-01-19,71.996696,73.170601,71.605202,71.996696,37.885712,134848678139
2000-01-20,71.996696,71.996696,70.822899,71.214104,37.473900,125758111343
2000-01-21,71.214104,72.779099,71.214104,72.779099,38.297424,113397432875
2000-01-24,73.561798,74.735603,73.170601,73.561798,38.709286,175113109994
2000-01-25,75.518303,75.518303,74.344398,75.518303,39.738831,223692131867
2000-01-26,77.865997,80.604797,77.865997,80.604797,42.415417,357880972698
2000-01-27,81.387497,82.561401,79.822502,81.387497,42.827290,287927211066
2000-01-28,78.648300,79.822502,78.648300,79.822502,42.003761,197904796109
2000-01-31,77.474403,79.822502,77.083298,79.431000,41.797749,168059330257
2000-02-01,80.213699,80.213699,78.648300,79.039803,41.591888,153081839313
2000-02-02,79.039803,79.039803,79.039803,79.039803,41.591888,0
2000-02-03,79.039803,79.039803,79.039803,79.039803,41.591888,0
2000-02-04,79.039803,79.039803,79.039803,79.039803,41.591888,0
2000-02-07,79.039803,79.039803,79.039803,79.039803,41.591888,0
2000-02-08,79.039803,79.039803,79.039803,79.039803,41.591888,0
2000-02-09,83.735199,83.735199,80.996399,82.561401,43.445011,252580303002
2000-02-10,81.778702,84.126404,80.996399,83.735199,44.062675,177540530551
2000-02-11,84.909103,86.865601,84.126404,85.691803,45.092274,215027843542
2000-02-14,85.300201,85.300201,83.735199,83.735199,44.062675,140301260499
2000-02-15,83.735199,84.909103,82.952499,84.126404,44.268536,105105240956
2000-02-16,84.126404,84.517502,83.344101,83.344101,43.856873,79352307611
2000-02-17,82.561401,83.344101,82.170197,82.561401,43.445011,116400249909
2000-02-18,82.952499,83.735199,80.996399,81.387497,42.827290,121805081657
2000-02-21,79.431000,79.431000,76.300598,76.300598,40.150482,153902996256
2000-02-22,75.126701,77.474403,74.344398,76.300598,40.150482,168143600435
2000-02-23,76.300598,76.300598,75.518303,75.909401,39.944630,73892579191
2000-02-24,76.300598,77.083298,75.909401,76.300598,40.150482,83371091714
2000-02-25,76.300598,78.257103,76.300598,77.865997,40.974216,165796717040
2000-02-28,77.865997,77.865997,77.865997,77.865997,40.974216,0
2000-02-29,78.257103,79.431000,78.257103,78.648300,41.385880,98749279301
2000-03-01,80.213699,80.604797,79.822502,80.604797,42.415417,90504901989
2000-03-02,80.996399,81.387497,79.431000,79.431000,41.797749,68745682875
2000-03-03,79.039803,79.822502,79.039803,79.431000,41.797749,58129346964
2000-03-06,79.822502,80.213699,77.865997,78.257103,41.180023,72312702670
2000-03-07,77.474403,78.648300,77.083298,77.865997,40.974216,83737455273
2000-03-08,77.474403,77.865997,76.692101,77.474403,40.768158,64819040283
2000-03-09,77.474403,78.257103,77.474403,78.257103,41.180023,71897777901
2000-03-10,78.648300,79.039803,75.909401,76.300598,40.150482,99978337610
2000-03-13,74.344398,74.344398,71.214104,71.214104,37.473900,232179347226
2000-03-14,71.214104,73.170601,70.431396,72.779099,38.297424,145477578317
2000-03-15,72.387901,73.561798,71.214104,71.605202,37.679703,154204005365
2000-03-16,70.040199,72.779099,67.301300,71.996696,37.885712,233438163008
2000-03-17,72.387901,74.344398,71.605202,74.344398,39.121101,267728094152
2000-03-20,71.996696,71.996696,71.996696,71.996696,37.885712,21190094104
2000-03-21,69.649002,76.692101,69.649002,76.300598,40.150482,447638066183
2000-03-22,75.126701,77.474403,73.952904,75.126701,39.532761,247260882669
2000-03-23,75.909401,79.431000,75.518303,78.648300,41.385880,280164584849
2000-03-24,78.648300,78.648300,76.692101,77.474403,40.768158,189561184557
2000-03-27,78.257103,82.561401,78.257103,82.561401,43.445011,257812029448
2000-03-28,82.952499,83.735199,80.996399,81.778702,43.033150,181779893258
2000-03-29,81.387497,81.387497,79.822502,79.822502,42.003761,105678461618
2000-03-30,79.822502,82.952499,79.822502,81.387497,42.827290,227815963050
2000-03-31,80.996399,82.170197,80.213699,80.213699,42.209621,127027731541
2000-04-03,80.213699,80.213699,80.213699,80.213699,42.209621,0
2000-04-04,80.213699,80.213699,80.213699,80.213699,42.209621,0
2000-04-05,78.648300,82.170197,78.648300,81.387497,42.827290,182695548844
2000-04-06,81.387497,82.561401,79.039803,79.039803,41.591888,145596405560
2000-04-07,79.822502,80.213699,78.257103,78.257103,41.180023,110518466658
2000-04-10,78.648300,83.344101,78.257103,82.170197,43.239151,201610636117
2000-04-11,81.387497,81.387497,80.213699,80.213699,42.209621,117967562163
2000-04-12,79.039803,79.822502,78.257103,78.257103,41.180023,128216398612
2000-04-13,74.344398,75.909401,74.344398,75.126701,39.532761,248891250902
2000-04-14,72.387901,74.344398,72.387901,72.779099,38.297424,239165079408
2000-04-17,68.866302,70.431396,68.475197,70.040199,36.856174,208060392475
2000-04-18,73.952904,73.952904,72.387901,73.952904,38.915089,217523098340
2000-04-19,75.909401,75.909401,71.214104,71.605202,37.679703,145654448632
2000-04-20,71.605202,72.779099,70.431396,72.779099,38.297424,95074572650
2000-04-21,73.170601,73.952904,72.387901,72.779099,38.297424,70356980728
2000-04-24,72.779099,73.170601,70.431396,70.431396,37.062035,80690188680
2000-04-25,70.431396,73.561798,70.431396,73.170601,38.503433,129573979341
2000-04-26,74.735603,75.126701,71.605202,72.387901,38.091568,221065602883
2000-04-27,73.952904,74.344398,72.387901,73.561798,38.709286,105813970112
2000-04-28,74.735603,77.865997,73.952904,77.083298,40.562351,237572297316
2000-05-01,77.083298,77.083298,77.083298,77.083298,40.562351,0
2000-05-02,76.692101,76.692101,75.126701,75.518303,39.738831,84578093229
2000-05-03,74.735603,75.518303,73.561798,73.561798,38.709286,75426352960
2000-05-04,73.561798,75.126701,72.387901,73.170601,38.503433,111779159614
2000-05-05,72.387901,75.909401,71.996696,75.126701,39.532761,110709554433
2000-05-08,74.344398,75.909401,74.344398,75.518303,39.738831,82047321447
2000-05-09,75.518303,75.518303,75.518303,75.518303,39.738831,0
2000-05-10,75.909401,75.909401,73.561798,73.561798,38.709286,93664431050
2000-05-11,71.214104,71.996696,69.257500,70.040199,36.856174,165385733269
2000-05-12,71.214104,72.387901,70.040199,72.387901,38.091568,213521838082
2000-05-15,73.624298,73.624298,70.368698,70.619301,37.160900,134465732654
2000-05-16,72.372398,75.126900,71.120003,74.876297,39.400997,105315882738
2000-05-17,78.131897,79.634399,77.631203,79.634399,41.904778,165332145153
2000-05-18,79.133797,81.638100,78.131897,81.638100,42.959164,124512461110
